show_id,type,title,director,release_year,rating,description,country,genre
81145628,Movie,Norm of the North: King Sized Adventure,"Richard Finn, Tim Maltby",2019,TV-PG,"Before planning an awesome wedding for his grandfather, a polar bear king must take back a stolen artifact from an evil archaeologist first.",United States,Children & Family Movies
81145628,Movie,Norm of the North: King Sized Adventure,"Richard Finn, Tim Maltby",2019,TV-PG,"Before planning an awesome wedding for his grandfather, a polar bear king must take back a stolen artifact from an evil archaeologist first.",United States," Comedies"
81145628,Movie,Norm of the North: King Sized Adventure,"Richard Finn, Tim Maltby",2019,TV-PG,"Before planning an awesome wedding for his grandfather, a polar bear king must take back a stolen artifact from an evil archaeologist first."," India",Children & Family Movies
81145628,Movie,Norm of the North: King Sized Adventure,"Richard Finn, Tim Maltby",2019,TV-PG,"Before planning an awesome wedding for his grandfather, a polar bear king must take back a stolen artifact from an evil archaeologist first."," India"," Comedies"
81145628,Movie,Norm of the North: King Sized Adventure,"Richard Finn, Tim Maltby",2019,TV-PG,"Before planning an awesome wedding for his grandfather, a polar bear king must take back a stolen artifact from an evil archaeologist first."," South Korea",Children & Family Movies
81145628,Movie,Norm of the North: King Sized Adventure,"Richard Finn, Tim Maltby",2019,TV-PG,"Before planning an awesome wedding for his grandfather, a polar bear king must take back a stolen artifact from an evil archaeologist first."," South Korea"," Comedies"
81145628,Movie,Norm of the North: King Sized Adventure,"Richard Finn, Tim Maltby",2019,TV-PG,"Before planning an awesome wedding for his grandfather, a polar bear king must take back a stolen artifact from an evil archaeologist first."," China",Children & Family Movies
81145628,Movie,Norm of the North: King Sized Adventure,"Richard Finn, Tim Maltby",2019,TV-PG,"Before planning an awesome wedding for his grandfather, a polar bear king must take back a stolen artifact from an evil archaeologist first."," China"," Comedies"
80117401,Movie,Jandino: Whatever it Takes,,2016,TV-MA,"Jandino Asporaat riffs on the challenges of raising kids and serenades the audience with a rousing rendition of ""Sex on Fire"" in his comedy show.",United Kingdom,Stand-Up Comedy
70234439,TV Show,Transformers Prime,,2013,TV-Y7-FV,"With the help of three human allies, the Autobots once again protect Earth from the onslaught of the Decepticons and their leader, Megatron.",United States,"Kids' TV"
80058654,TV Show,Transformers: Robots in Disguise,,2016,TV-Y7,"When a prison ship crash unleashes hundreds of Decepticons on Earth, Bumblebee leads a new Autobot force to protect humankind.",United States,"Kids' TV"
80125979,Movie,#realityhigh,Fernando Lebrija,2017,TV-14,"When nerdy high schooler Dani finally attracts the interest of her longtime crush, she lands in the cross hairs of his ex, a social media celebrity.",United States,Comedies
80163890,TV Show,Apaches,,2016,TV-MA,A young journalist is forced into a life of crime to save his father and family in this series based on the novel by Miguel Sáez Carral.,Spain,Crime TV Shows
80163890,TV Show,Apaches,,2016,TV-MA,A young journalist is forced into a life of crime to save his father and family in this series based on the novel by Miguel Sáez Carral.,Spain," International TV Shows"
80163890,TV Show,Apaches,,2016,TV-MA,A young journalist is forced into a life of crime to save his father and family in this series based on the novel by Miguel Sáez Carral.,Spain," Spanish-Language TV Shows"
70304989,Movie,Automata,Gabe Ibáñez,2014,R,"In a dystopian future, an insurance adjuster for a tech company investigates a robot killed for violating protocol and discovers a global conspiracy.",Bulgaria,International Movies
70304989,Movie,Automata,Gabe Ibáñez,2014,R,"In a dystopian future, an insurance adjuster for a tech company investigates a robot killed for violating protocol and discovers a global conspiracy.",Bulgaria," Sci-Fi & Fantasy"
70304989,Movie,Automata,Gabe Ibáñez,2014,R,"In a dystopian future, an insurance adjuster for a tech company investigates a robot killed for violating protocol and discovers a global conspiracy.",Bulgaria," Thrillers"
70304989,Movie,Automata,Gabe Ibáñez,2014,R,"In a dystopian future, an insurance adjuster for a tech company investigates a robot killed for violating protocol and discovers a global conspiracy."," United States",International Movies
70304989,Movie,Automata,Gabe Ibáñez,2014,R,"In a dystopian future, an insurance adjuster for a tech company investigates a robot killed for violating protocol and discovers a global conspiracy."," United States"," Sci-Fi & Fantasy"
70304989,Movie,Automata,Gabe Ibáñez,2014,R,"In a dystopian future, an insurance adjuster for a tech company investigates a robot killed for violating protocol and discovers a global conspiracy."," United States"," Thrillers"
70304989,Movie,Automata,Gabe Ibáñez,2014,R,"In a dystopian future, an insurance adjuster for a tech company investigates a robot killed for violating protocol and discovers a global conspiracy."," Spain",International Movies
70304989,Movie,Automata,Gabe Ibáñez,2014,R,"In a dystopian future, an insurance adjuster for a tech company investigates a robot killed for violating protocol and discovers a global conspiracy."," Spain"," Sci-Fi & Fantasy"
70304989,Movie,Automata,Gabe Ibáñez,2014,R,"In a dystopian future, an insurance adjuster for a tech company investigates a robot killed for violating protocol and discovers a global conspiracy."," Spain"," Thrillers"
70304989,Movie,Automata,Gabe Ibáñez,2014,R,"In a dystopian future, an insurance adjuster for a tech company investigates a robot killed for violating protocol and discovers a global conspiracy."," Canada",International Movies
70304989,Movie,Automata,Gabe Ibáñez,2014,R,"In a dystopian future, an insurance adjuster for a tech company investigates a robot killed for violating protocol and discovers a global conspiracy."," Canada"," Sci-Fi & Fantasy"
70304989,Movie,Automata,Gabe Ibáñez,2014,R,"In a dystopian future, an insurance adjuster for a tech company investigates a robot killed for violating protocol and discovers a global conspiracy."," Canada"," Thrillers"
80164077,Movie,Fabrizio Copano: Solo pienso en mi,"Rodrigo Toro, Francisco Schultz",2017,TV-MA,"Fabrizio Copano takes audience participation to the next level in this stand-up set while reflecting on sperm banks, family WhatsApp groups and more.",Chile,Stand-Up Comedy
80117902,TV Show,Fire Chasers,,2017,TV-MA,"As California's 2016 fire season rages, brave backcountry firefighters race to put out the flames, protect homes and save lives in this docuseries.",United States,Docuseries
80117902,TV Show,Fire Chasers,,2017,TV-MA,"As California's 2016 fire season rages, brave backcountry firefighters race to put out the flames, protect homes and save lives in this docuseries.",United States," Science & Nature TV"
70304990,Movie,Good People,Henrik Ruben Genz,2014,R,"A struggling couple can't believe their luck when they find a stash of money in the apartment of a neighbor who was recently murdered.",United States,Action & Adventure
70304990,Movie,Good People,Henrik Ruben Genz,2014,R,"A struggling couple can't believe their luck when they find a stash of money in the apartment of a neighbor who was recently murdered.",United States," Thrillers"
70304990,Movie,Good People,Henrik Ruben Genz,2014,R,"A struggling couple can't believe their luck when they find a stash of money in the apartment of a neighbor who was recently murdered."," United Kingdom",Action & Adventure
70304990,Movie,Good People,Henrik Ruben Genz,2014,R,"A struggling couple can't believe their luck when they find a stash of money in the apartment of a neighbor who was recently murdered."," United Kingdom"," Thrillers"
70304990,Movie,Good People,Henrik Ruben Genz,2014,R,"A struggling couple can't believe their luck when they find a stash of money in the apartment of a neighbor who was recently murdered."," Denmark",Action & Adventure
70304990,Movie,Good People,Henrik Ruben Genz,2014,R,"A struggling couple can't believe their luck when they find a stash of money in the apartment of a neighbor who was recently murdered."," Denmark"," Thrillers"
70304990,Movie,Good People,Henrik Ruben Genz,2014,R,"A struggling couple can't believe their luck when they find a stash of money in the apartment of a neighbor who was recently murdered."," Sweden",Action & Adventure
70304990,Movie,Good People,Henrik Ruben Genz,2014,R,"A struggling couple can't believe their luck when they find a stash of money in the apartment of a neighbor who was recently murdered."," Sweden"," Thrillers"
70299204,Movie,Kidnapping Mr. Heineken,Daniel Alfredson,2015,R,"When beer magnate Alfred ""Freddy"" Heineken is kidnapped in 1983, his abductors make the largest ransom demand in history.",Netherlands,Action & Adventure
70299204,Movie,Kidnapping Mr. Heineken,Daniel Alfredson,2015,R,"When beer magnate Alfred ""Freddy"" Heineken is kidnapped in 1983, his abductors make the largest ransom demand in history.",Netherlands," Dramas"
70299204,Movie,Kidnapping Mr. Heineken,Daniel Alfredson,2015,R,"When beer magnate Alfred ""Freddy"" Heineken is kidnapped in 1983, his abductors make the largest ransom demand in history.",Netherlands," International Movies"
70299204,Movie,Kidnapping Mr. Heineken,Daniel Alfredson,2015,R,"When beer magnate Alfred ""Freddy"" Heineken is kidnapped in 1983, his abductors make the largest ransom demand in history."," Belgium",Action & Adventure
70299204,Movie,Kidnapping Mr. Heineken,Daniel Alfredson,2015,R,"When beer magnate Alfred ""Freddy"" Heineken is kidnapped in 1983, his abductors make the largest ransom demand in history."," Belgium"," Dramas"
70299204,Movie,Kidnapping Mr. Heineken,Daniel Alfredson,2015,R,"When beer magnate Alfred ""Freddy"" Heineken is kidnapped in 1983, his abductors make the largest ransom demand in history."," Belgium"," International Movies"
70299204,Movie,Kidnapping Mr. Heineken,Daniel Alfredson,2015,R,"When beer magnate Alfred ""Freddy"" Heineken is kidnapped in 1983, his abductors make the largest ransom demand in history."," United Kingdom",Action & Adventure
70299204,Movie,Kidnapping Mr. Heineken,Daniel Alfredson,2015,R,"When beer magnate Alfred ""Freddy"" Heineken is kidnapped in 1983, his abductors make the largest ransom demand in history."," United Kingdom"," Dramas"
70299204,Movie,Kidnapping Mr. Heineken,Daniel Alfredson,2015,R,"When beer magnate Alfred ""Freddy"" Heineken is kidnapped in 1983, his abductors make the largest ransom demand in history."," United Kingdom"," International Movies"
70299204,Movie,Kidnapping Mr. Heineken,Daniel Alfredson,2015,R,"When beer magnate Alfred ""Freddy"" Heineken is kidnapped in 1983, his abductors make the largest ransom demand in history."," United States",Action & Adventure
